"source","target","const_culture","const_id"
677,3092,"arabic","arabic-001"
3092,5447,"arabic","arabic-001"
9640,5447,"arabic","arabic-001"
5447,4436,"arabic","arabic-001"
4436,3881,"arabic","arabic-001"
106278,109074,"arabic","arabic-002"
109074,110395,"arabic","arabic-002"
110395,110960,"arabic","arabic-002"
110960,111497,"arabic","arabic-002"
111497,112961,"arabic","arabic-002"
112961,114855,"arabic","arabic-002"
114855,115438,"arabic","arabic-002"
109074,110003,"arabic","arabic-002"
110003,109139,"arabic","arabic-002"
110003,111123,"arabic","arabic-002"
111123,112716,"arabic","arabic-002"
112716,113136,"arabic","arabic-002"
102618,106278,"arabic","arabic-002"
115438,114341,"arabic","arabic-002"
114341,113368,"arabic","arabic-002"
98036,97649,"arabic","arabic-003"
97649,97278,"arabic","arabic-003"
97649,95501,"arabic","arabic-003"
95501,97804,"arabic","arabic-003"
99473,97804,"arabic","arabic-003"
95501,93747,"arabic","arabic-003"
93747,93244,"arabic","arabic-003"
95501,93805,"arabic","arabic-003"
88714,85792,"arabic","arabic-004"
85792,83081,"arabic","arabic-004"
83081,82363,"arabic","arabic-004"
82363,85727,"arabic","arabic-004"
85727,85267,"arabic","arabic-004"
85267,85258,"arabic","arabic-004"
85258,88714,"arabic","arabic-004"
13209,9884,"arabic","arabic-005"
9884,8903,"arabic","arabic-005"
8903,8832,"arabic","arabic-005"
28380,28360,"arabic","arabic-006"
28360,24608,"arabic","arabic-006"
24608,23453,"arabic","arabic-006"
23453,23015,"arabic","arabic-006"
25428,23015,"arabic","arabic-006"
25428,28380,"arabic","arabic-006"
71795,69673,"arabic","arabic-007"
69673,72105,"arabic","arabic-007"
72105,74666,"arabic","arabic-007"
74666,73555,"arabic","arabic-007"
73555,71075,"arabic","arabic-007"
71075,71053,"arabic","arabic-007"
71053,69673,"arabic","arabic-007"
69673,67927,"arabic","arabic-007"
67927,67459,"arabic","arabic-007"
71075,69732,"arabic","arabic-007"
69732,70497,"arabic","arabic-007"
43103,42806,"arabic","arabic-008"
42806,40843,"arabic","arabic-008"
42806,42911,"arabic","arabic-008"
42911,40526,"arabic","arabic-008"
42911,44066,"arabic","arabic-008"
33160,34045,"arabic","arabic-009"
34045,33347,"arabic","arabic-009"
33347,32349,"arabic","arabic-009"
32349,33977,"arabic","arabic-009"
33977,34444,"arabic","arabic-009"
34444,35037,"arabic","arabic-009"
35037,35904,"arabic","arabic-009"
33579,33856,"arabic","arabic-009"
33856,34444,"arabic","arabic-009"
33856,33152,"arabic","arabic-009"
33152,31592,"arabic","arabic-009"
31592,31416,"arabic","arabic-009"
31592,30324,"arabic","arabic-009"
31592,32349,"arabic","arabic-009"
33579,32759,"arabic","arabic-009"
30122,33579,"arabic","arabic-009"
33347,33160,"arabic","arabic-009"
37279,36188,"arabic","arabic-010"
100064,100345,"arabic","arabic-011"
100345,104139,"arabic","arabic-011"
104139,105515,"arabic","arabic-011"
105515,106985,"arabic","arabic-011"
106985,107556,"arabic","arabic-011"
105515,105881,"arabic","arabic-011"
105881,104139,"arabic","arabic-011"
100345,102485,"arabic","arabic-011"
104139,102978,"arabic","arabic-011"
8886,6686,"arabic","arabic-012"
6686,4427,"arabic","arabic-012"
4427,3179,"arabic","arabic-012"
3179,746,"arabic","arabic-012"
71683,68702,"arabic","arabic-013"
68702,66657,"arabic","arabic-013"
66657,68002,"arabic","arabic-013"
