"const_id","const_name"
"arabic-001","The Shackled Woman"
"arabic-002","The Well-bucket"
"arabic-003","The Eagle"
"arabic-004","The Censer"
"arabic-005","The Ram"
"arabic-006","The Reins-holder"
"arabic-007","The Howler"
"arabic-008","The Crab"
"arabic-009","The Greater Dog"
"arabic-010","The Lesser Dog"
"arabic-011","The Young Goat"
"arabic-012","Who Lady Has Chair"
"arabic-013","Centaur"
"arabic-014","Inflammatus"
"arabic-015","Cetus"
"arabic-016","Bristle"
"arabic-017","The Southern Crown"
"arabic-018","The Northern Crown"
"arabic-019","The Raven"
"arabic-020","The Great Cup"
"arabic-021","The Hen"
"arabic-022","The Dolphin"
"arabic-023","The Dragon"
"arabic-024","Part of the Horse"
"arabic-025","The River"
"arabic-026","The Twins"
"arabic-027","The Kneeling Man"
"arabic-028","The Brave"
"arabic-029","The Lion"
"arabic-030","The Hare"
"arabic-031","The Balance"
"arabic-032","The Turtle"
"arabic-033","The Snake Charmer"
"arabic-034","The Giant"
"arabic-035","The Great Horse"
"arabic-036","Bearer of the Demon's Head"
"arabic-037","The Whale"
"arabic-038","The Southern Whale"
"arabic-039","The Arrow"
"arabic-040","The Archer"
"arabic-041","The Scorpion"
"arabic-042","The Bull"
"arabic-043","The Triangle"
"arabic-044","The Greater Bear"
"arabic-045","The Lesser Bear"
"arabic-046","The Ship"
"arabic-047","The Maiden"
"arabic-048","The Snake"
"arabic-049","The Beast of Prey"
"arabic_moon_stations-001","The Two signs"
"arabic_moon_stations-002","The Little belly"
"arabic_moon_stations-003","Al-Thurayya"
"arabic_moon_stations-004","The Follower"
"arabic_moon_stations-005","The Side Mark"
"arabic_moon_stations-006","The Neck bend"
"arabic_moon_stations-007","The Arm"
"arabic_moon_stations-008","The Lion nose"
"arabic_moon_stations-009","The Lion eyes"
"arabic_moon_stations-010","The Lion Forehead"
"arabic_moon_stations-011","The Lion mane"
"arabic_moon_stations-012","The Star of weather change"
"arabic_moon_stations-013","The Bend"
"arabic_moon_stations-014","The High one"
"arabic_moon_stations-015","The tail tuft"
"arabic_moon_stations-016","The Scorpion Claws"
"arabic_moon_stations-017","The ornamented headband"
"arabic_moon_stations-018","The Heart"
"arabic_moon_stations-019","The Scorpion sting"
"arabic_moon_stations-020","The Ostriches"
"arabic_moon_stations-021","The Empty place"
"arabic_moon_stations-022","The Lucky stars of the slaughterer"
"arabic_moon_stations-023","The Lucky stars of the swallower"
"arabic_moon_stations-024","The Lucky stars of the Luckiest ones"
"arabic_moon_stations-025","The Lucky stars of the tents"
"arabic_moon_stations-026","The Front mouth of the bucket"
"arabic_moon_stations-027","The Rear mouth of the bucket"
"arabic_moon_stations-028","The Bucket cord"
"aztec-001","The New fire"
"aztec-002","The Market"
"aztec-003","The ball game of the stars"
"aztec-004","Twisted foot"
"aztec-005",Scorpion face"
"belarusian-001","Elias's Cart"
"belarusian-002","The Bride"
"belarusian-003","The Chicks"
"belarusian-004","The Cross"
"belarusian-005","The Crown"
"belarusian-006","The Goat"
"belarusian-007","The Grass Snakes"
"belarusian-008","Poland and Lithuania"
"belarusian-009","The Mowers"
"belarusian-010","The Nail"
"belarusian-011","The Ploughman"
"belarusian-012","The Rake"
"belarusian-013","The Ram"
"belarusian-014","The Serpent"
"belarusian-015","The Sieve"
"belarusian-016","The Small Cart"
"belarusian-017","The Throne"
"belarusian-018","The Twins"
"belarusian-019","The Wild Goat"
"belarusian-020","The Goose's Way"
"boorong-Wjl","Long-necked tortoise"
"boorong-Yur","Fan-tailed cockatoo"
"boorong-Kul","Two teenage boys"
"boorong-Lnk","Girls"
"boorong-Pur","Red kangaroo"
"boorong-Bun","Ring-tail possum"
"boorong-Djt","Red-rumped parrot"
"boorong-War","Crow"
"boorong-Cwr","Female crow, wife of War"
"boorong-Ydk","Owlet nightjar"
"boorong-Tbg","Needlewood hakea and willie wagtails"
"boorong-Bbg","Red-kneed dotterel"
"boorong-Krk","Australian kestrel"
"boorong-Nln","Mallee fowl"
"boorong-Unu","Jacky lizard"
