"hip","proper","ra","dec","mag","absmag","t_eff","con","constellations","const_name"
25,,0.0053,-44.290561,6.28,1.728,5383,"Phe",0,
34,,0.006638,26.918108,6.43,2.066,6227,"Peg",0,
43,,0.008593,59.559679,6.18,0.508,4789,"Cas",1,"Cassiopeia"
50,,0.009533,-53.097713,6.49,2.62,5838,"Phe",0,
63,,0.012119,45.253334,6.36,-0.01,10334,"And",0,
88,,0.017941,-48.809876,5.71,-0.588,5029,"Phe",0,
106,,0.022013,49.981558,6.22,-0.281,4908,"Cas",0,
107,,0.022255,-50.337373,5.53,-0.576,3741,"Phe",0,
114,,0.024777,30.735785,7.95,2.595,5709,"Peg",1,"Pegasus"
122,,0.026616,-77.065724,4.78,0.663,4399,"Oct",0,
124,,0.026949,61.222801,5.58,-4.293,6696,"Cas",0,
128,,0.027597,73.611846,6.5,2.251,7877,"Cep",0,
137,,0.028847,42.367144,6.25,-1.617,10235,"And",0,
145,,0.030402,-3.027504,5.13,-0.589,12680,"Psc",2,"Pisces"
154,,0.032672,-6.014072,4.37,-1.24,3697,"Psc",2,"Pisces"
171,,0.036139,27.082256,5.8,5.374,5594,"Peg",0,
183,,0.038867,-29.720414,5.04,-0.899,13675,"Scl",0,
186,,0.040046,8.956824,6.33,0.883,7877,"Psc",0,
194,,0.041584,8.485463,5.7,2.865,7142,"Psc",1,"Pisces"
207,,0.043357,66.098966,5.87,-14.13,4713,"Cas",0,
238,,0.049301,-20.045882,6.25,2.318,6178,"Cet",0,
253,,0.052181,-24.145145,6.46,-0.085,4531,"Cet",0,
274,,0.057143,63.64052,6.24,-3.174,7057,"Cas",0,
301,,0.06233,-17.335988,4.55,-0.058,10334,"Cet",3,"Cetus"
302,,0.064342,66.712183,6.31,-0.814,3703,"Cep",0,
330,,0.070462,62.287664,5.9,-14.1,7354,"Cas",0,
343,,0.072165,-16.529036,5.78,0.993,4693,"Cet",0,
345,,0.07231,-29.268822,6.38,0.898,9447,"Scl",0,
355,,0.075033,-10.509523,4.99,-4.044,3731,"Cet",2,"Cetus"
365,,0.07683,42.09253,6.11,-1.824,8024,"And",0,
377,,0.078131,-71.436891,5.59,-0.631,11677,"Tuc",0,
379,,0.078304,67.166445,5.68,0.845,4753,"Cep",0,
394,,0.081573,34.659797,6.09,3.124,5783,"And",0,
399,,0.08222,26.648764,6.25,-0.255,4212,"Peg",0,
410,,0.083662,27.674784,6.47,0.343,4956,"Peg",0,
417,,0.084395,-0.503035,6.32,0.607,4666,"Psc",0,
418,,0.085039,61.31397,5.8,-0.929,10773,"Cas",0,
443,,0.088928,-5.707618,4.61,1.627,4794,"Psc",2,"Pisces"
476,,0.094989,13.396266,5.55,0.26,5051,"Peg",0,
518,,0.104356,58.436733,5.98,4.32,5603,"Cas",1,"Cassiopeia"
522,,0.105277,-49.075191,5.7,3.649,6207,"Phe",0,
531,,0.10737,64.196168,5.57,-1.554,9890,"Cas",0,
544,,0.110209,29.021502,6.07,5.391,5413,"And",0,
560,,0.113911,-23.10754,6.19,3.213,6794,"Cet",0,
602,,0.121741,-17.38699,6.2,-0.028,8203,"Cet",0,
635,,0.12892,-2.548679,6.43,0.112,13478,"Psc",0,
636,,0.129693,-22.50856,5.93,1.459,8146,"Cet",0,
655,,0.134303,-33.529326,5.67,0.782,4631,"Scl",0,
664,,0.136693,-2.447711,6.18,-1.051,4215,"Psc",1,"Pisces"
667,,0.137128,29.732273,8.31,1.237,4750,"And",1,"Andromeda"
671,,0.138204,-8.824112,5.99,1.024,4785,"Cet",0,
677,"Alpheratz",0.139791,29.090432,2.07,-0.297,10158,"And",14,"Andromeda"
695,,0.142462,63.20404,6.41,-1.425,4853,"Cas",0,
696,,0.142638,-17.578155,6.11,-2.7,3596,"Cet",1,"Cetus"
699,,0.14471,36.627125,6.21,3.654,6268,"And",0,
716,,0.147814,25.462985,6.24,0.533,4896,"Peg",0,
728,,0.150045,28.247543,6.47,1.246,7527,"Peg",0,
729,,0.150672,18.211963,5.57,0.862,4768,"Peg",0,
730,,0.15066,-54.001931,6.32,0.778,5452,"Phe",0,
746,"Caph",0.152887,59.14978,2.28,1.155,6823,"Cas",19,"Cassiopeia"
760,,0.155525,79.714545,6.01,0.894,7750,"Cep",0,
761,,0.155851,-27.987928,5.42,0.975,6663,"Scl",0,
765,,0.156836,-45.747426,3.88,0.652,4824,"Phe",2,"Phoenix"
798,,0.164474,-62.296794,6.34,0.733,7991,"Tuc",0,
813,,0.167278,11.145813,5.54,0.683,10703,"Psc",0,
814,,0.167293,-82.224047,5.29,0.828,4757,"Oct",0,
840,,0.171908,-5.248588,5.84,2.011,4902,"Psc",1,"Pisces"
841,,0.172012,46.072272,5.01,-2.874,6705,"And",0,
873,,0.178565,-12.579897,5.84,1.464,4849,"Cet",0,
910,,0.187739,-15.467977,4.89,3.525,6340,"Cet",2,"Cetus"
930,,0.192894,-27.799737,5.41,-1.521,4248,"Scl",0,
950,,0.195552,-35.133119,5.24,3.6,6461,"Scl",0,
967,,0.199741,48.152396,6.18,-0.347,4048,"And",0,
983,,0.202773,-17.938278,5.29,-1.113,4029,"Cet",2,"Cetus"
1009,,0.209484,44.707195,6.5,0.756,4643,"And",0,
1067,"Algenib",0.220598,15.183596,2.83,-2.567,16153,"Peg",12,"Pegasus"
1074,,0.222099,-84.993978,5.78,-1.595,3422,"Oct",0,
1076,,0.223312,26.987545,6.24,0.647,5625,"And",0,
1086,,0.22524,41.03537,5.71,2.996,7062,"And",0,
1096,,0.228401,-26.022345,5.94,-2.053,3897,"Scl",0,
1099,,0.228994,-26.284959,6.14,-0.978,4008,"Scl",0,
1123,,0.233967,33.206039,6.22,1.152,9406,"And",0,
1158,,0.241008,-7.780532,5.13,-1.129,3777,"Cet",1,"Cetus"
1168,,0.243378,20.206702,4.79,-0.473,3846,"Peg",0,
1170,,0.244005,-18.932866,4.44,-1.246,3671,"Cet",3,"Cetus"
1191,,0.248476,-9.569571,5.77,0.688,11207,"Cet",0,
1193,,0.24886,22.284225,6.25,0.506,9589,"Peg",0,
1195,,0.249515,-34.904223,6.17,-0.275,4251,"Scl",0,
1196,,0.249677,8.820962,6.02,1.566,7157,"Psc",0,
1208,,0.25193,31.535725,6.34,-0.946,3883,"And",0,
1215,,0.252934,27.28344,6.35,0.696,9560,"And",0,
1269,,0.265239,61.000172,6.43,0.811,5193,"Cas",0,
1268,,0.265257,-75.911615,6.49,0.103,4882,"Hyi",0,
1288,,0.269126,-31.446394,5.66,-0.252,4241,"Scl",0,
1296,,0.270527,76.950755,6.35,-0.07,10274,"Cep",0,
1302,,0.272645,43.595049,6.12,0.983,8737,"And",0,
1319,,0.276122,8.240154,6.12,0.635,5012,"Psc",0,
1331,,0.278429,-20.210061,6.5,0.19,11938,"Cet",0,
1354,,0.282513,61.533185,5.74,-0.655,5057,"Cas",0,
1366,,0.284863,38.681636,4.61,-0.272,8825,"And",2,"Andromeda"
1372,,0.285845,47.947405,5.86,-1.821,11073,"Cas",0,
1402,,0.292417,-19.051092,6.46,3.031,6794,"Cet",1,"Cetus"
1415,,0.295295,51.43309,6.11,-3.222,13725,"Cas",0,
1421,,0.296583,1.688727,6.19,0.842,4975,"Psc",0,
1465,,0.304791,11.206214,6.07,0.135,4781,"Psc",0,
1473,,0.305463,36.785224,4.51,1.429,8876,"And",1,"Andromeda"
1493,,0.310625,31.517227,5.88,-0.229,9742,"And",0,
1499,,0.311629,-8.053001,6.47,4.638,5644,"Cet",0,
1501,,0.311712,43.791141,6.1,-0.436,10944,"And",0,
1502,,0.31182,-43.235571,6.33,1.075,4473,"Phe",0,
1562,,0.323799,-8.823921,3.56,-1.066,4466,"Cet",5,"Cetus"
1575,,0.328212,40.729461,6.35,0.133,4526,"And",0,
1599,,0.334142,-64.874791,4.23,4.561,5984,"Tuc",2,"Tucana"
1630,,0.340111,30.935614,5.89,-0.127,11615,"And",0,
1639,,0.341924,48.968633,6.46,-0.236,6029,"Cas",0,
1645,,0.343295,8.190271,5.38,-0.105,4252,"Psc",2,"Pisces"
1647,,0.344178,-69.624913,5.5,0.554,10314,"Tuc",0,
1657,,0.345978,32.911186,5.79,-0.626,3792,"And",0,
1686,,0.352017,37.968603,5.16,1.729,6536,"And",1,"Andromeda"
1706,,0.357986,-77.426873,5.96,-0.253,4165,"Hyi",0,
1708,,0.358665,-28.981469,5.18,0.152,4838,"Scl",0,
1728,,0.362853,-20.058024,5.61,-1.549,3828,"Cet",1,"Cetus"
1772,,0.373745,13.482488,6.25,0.315,4448,"Psc",0,
1803,,0.381051,-12.209438,6.39,4.793,5693,"Cet",1,"Cetus"
1821,,0.384554,-15.942556,6.43,-1.214,3792,"Cet",0,
1921,,0.404348,52.019914,5.58,-1.854,12007,"Cas",0,
1939,,0.408236,-2.219064,6.08,0.174,4463,"Psc",0,
1948,,0.410599,14.315514,6.48,0.198,4557,"Psc",0,
1960,,0.413193,61.831057,5.38,-1.283,9419,"Cas",1,"Cassiopeia"
1982,,0.418445,53.046786,5.72,-0.276,10523,"Cas",0,
2006,,0.423391,1.939692,5.77,-0.023,5153,"Psc",0,
2021,,0.427916,-77.254247,2.82,3.457,5831,"Hyi",3,"Hydrus"
2025,,0.428309,7.691122,6.77,0.012,4323,"Psc",1,"Pisces"
2072,,0.436716,-43.679829,3.93,2.046,7921,"Phe",2,"Phoenix"
2081,"Ankaa",0.438056,-42.305981,2.4,0.327,4695,"Phe",3,"Phoenix"
2086,,0.439375,-18.693632,6.24,-2.18,3723,"Cet",0,
2100,,0.443726,-0.049533,6.16,0.456,5068,"Cet",0,
2159,,0.454085,-25.54717,5.99,-0.238,4807,"Scl",0,
2178,,0.45863,16.025483,6.44,1.095,7594,"Psc",0,
2210,,0.465472,-33.007167,4.86,-0.847,3689,"Scl",0,
2213,,0.466241,19.514039,6.4,0.221,4869,"Psc",0,
2219,,0.467475,17.893125,5.01,-1.039,3818,"Psc",1,"Pisces"
2224,,0.470195,16.445065,6.05,-0.793,3828,"Psc",0,
2225,,0.470454,44.394452,5.18,0.491,8992,"And",0,
2235,,0.472236,10.189848,6.05,3.236,6514,"Psc",0,
2237,,0.472528,-20.335051,6.44,3.901,5917,"Cet",0,
2240,,0.474027,-39.915002,5.42,0.113,3880,"Phe",0,
2256,,0.478632,-50.532859,6.26,0.77,4682,"Phe",0,
2270,,0.482406,36.899694,6.28,0.231,5018,"And",0,
2337,,0.497748,-14.864109,6.15,2.995,6785,"Cet",0,
2353,,0.500655,-3.957332,5.72,-0.482,3903,"Cet",0,
2355,,0.502045,29.751557,5.2,1.211,7370,"And",0,
2377,,0.505534,59.977554,5.94,-0.923,9575,"Cas",0,
2381,,0.506293,-23.78768,5.17,1.544,8239,"Cet",0,
2383,,0.507242,-48.21491,5.67,2.498,6885,"Phe",0,
2388,,0.507729,-40.939586,6.18,0.618,7142,"Phe",0,
2422,,0.51511,77.019404,6.18,3.252,5090,"Cas",0,
2472,,0.523594,-48.803514,4.76,1.14,9288,"Phe",1,"Phoenix"
2474,,0.52367,66.519617,6.18,-0.658,11677,"Cas",0,
2475,,0.523787,33.581642,5.88,0.555,4606,"And",0,
2484,,0.525725,-62.958218,4.36,1.275,10703,"Tuc",2,"Tucana"
2487,,0.525946,-62.965561,4.53,0.965,8105,"Tuc",0,
2497,,0.528105,52.839526,5.59,0.252,4554,"Cas",0,
2505,,0.529539,54.522289,4.74,-0.577,11615,"Cas",2,"Cassiopeia"
2548,,0.539939,6.955463,5.69,1.148,9742,"Psc",1,"Pisces"
2568,,0.543189,20.294316,5.38,0.865,4720,"Psc",0,
2578,,0.545512,-63.0315,5.07,1.777,9048,"Tuc",0,
2583,,0.546969,28.280241,6.26,0.26,4918,"And",0,
2599,,0.549997,62.931783,4.17,-15.83,8224,"Cas",4,"Cassiopeia"
2611,,0.552879,54.894985,5.93,0.643,4779,"Cas",1,"Cassiopeia"
2628,,0.55534,70.981843,6.41,0.504,9634,"Cas",0,
2629,,0.556463,-71.266246,6.11,0.54,7402,"Tuc",0,
2661,,0.561401,-29.558278,5.55,-0.538,4386,"Scl",0,
2663,,0.56217,-35.002078,6.41,3.81,5835,"Scl",0,
2707,,0.573583,66.750351,6.47,0.079,10375,"Cas",1,"Cassiopeia"
2711,,0.574374,-52.37309,5.57,3.539,6404,"Phe",0,
2734,,0.582046,13.371137,6.39,1.19,4601,"Psc",0,
2762,,0.587466,-3.592846,5.2,3.563,6017,"Cet",1,"Cetus"
2787,,0.592454,-0.50561,5.94,2.258,6527,"Cet",0,
2789,,0.592591,-54.821873,6.04,1.791,4847,"Phe",0,
2802,,0.594767,-48.000907,5.51,2.801,6452,"Phe",0,
2832,,0.598557,13.207067,6.32,3.446,6215,"Psc",0,
2846,,0.600877,-14.973035,6.45,1.14,4731,"Cet",0,
2852,,0.601906,-22.842333,6.06,2.615,7234,"Cet",0,
2854,,0.602306,54.16845,5.08,-1,11615,"Cas",0,
2876,,0.607595,60.326215,5.78,-14.22,7249,"Cas",1,"Cassiopeia"
2889,,0.610449,-65.124445,6.43,-0.2,4389,"Tuc",0,
2900,,0.612903,44.488587,5.14,-1.243,3811,"And",0,
2903,,0.613142,15.231725,5.89,-1.625,13478,"Psc",0,
2912,,0.61468,33.719344,4.34,-1.978,12482,"And",5,"Andromeda"
2920,"Fulu",0.616188,53.896909,3.69,-2.608,16623,"Cas",4,"Cassiopeia"
2926,,0.618664,24.014136,6.18,0.92,4541,"And",0,
2937,,0.621727,-54.393819,6.4,0.566,4859,"Phe",0,
2941,,0.622393,-24.767267,5.57,4.632,5519,"Cet",0,
2942,,0.622561,35.399501,5.45,-1.623,5083,"And",1,"Andromeda"
2954,,0.625136,3.135351,6.43,-0.314,4259,"Psc",0,
3031,,0.642602,29.311751,4.34,0.835,5117,"And",4,"Andromeda"
3056,,0.646883,-25.107819,6.43,-0.759,4022,"Scl",0,
3083,,0.652748,49.354589,5.45,-3.584,3659,"Cas",0,
3092,,0.655462,30.861024,3.27,0.72,4376,"And",7,"Andromeda"
3093,,0.656063,21.250472,5.88,5.661,5165,"Psc",0,
3132,,0.663247,82.493762,6.38,3.771,6079,"Cep",0,
